version,Keyword,RGB hex value,Sample
1,black,#000000,
1,silver,#c0c0c0,
1,gray,#808080,
1,white,#ffffff,
1,maroon,#800000,
1,red,#ff0000,
1,purple,#800080,
1,fuchsia,#ff00ff,
1,green,#008000,
1,lime,#00ff00,
1,olive,#808000,
1,yellow,#ffff00,
1,navy,#000080,
1,blue,#0000ff,
1,teal,#008080,
1,aqua,#00ffff,
2,orange,#ffa500,
3,aliceblue,#f0f8ff,
3,antiquewhite,#faebd7,
3,aquamarine,#7fffd4,
3,azure,#f0ffff,
3,beige,#f5f5dc,
3,bisque,#ffe4c4,
3,blanchedalmond,#ffebcd,
3,blueviolet,#8a2be2,
3,brown,#a52a2a,
3,burlywood,#deb887,
3,cadetblue,#5f9ea0,
3,chartreuse,#7fff00,
3,chocolate,#d2691e,
3,coral,#ff7f50,
3,cornflowerblue,#6495ed,
3,cornsilk,#fff8dc,
3,crimson,#dc143c,
3,cyan,#00ffff,
3,aqua,#00ffff,
3,darkblue,#00008b,
3,darkcyan,#008b8b,
3,darkgoldenrod,#b8860b,
3,darkgray,#a9a9a9,
3,darkgreen,#006400,
3,darkgrey,#a9a9a9,
3,darkkhaki,#bdb76b,
3,darkmagenta,#8b008b,
3,darkolivegreen,#556b2f,
3,darkorange,#ff8c00,
3,darkorchid,#9932cc,
3,darkred,#8b0000,
3,darksalmon,#e9967a,
3,darkseagreen,#8fbc8f,
3,darkslateblue,#483d8b,
3,darkslategray,#2f4f4f,
3,darkslategrey,#2f4f4f,
3,darkturquoise,#00ced1,
3,darkviolet,#9400d3,
3,deeppink,#ff1493,
3,deepskyblue,#00bfff,
3,dimgray,#696969,
3,dimgrey,#696969,
3,dodgerblue,#1e90ff,
3,firebrick,#b22222,
3,floralwhite,#fffaf0,
3,forestgreen,#228b22,
3,gainsboro,#dcdcdc,
3,ghostwhite,#f8f8ff,
3,gold,#ffd700,
3,goldenrod,#daa520,
3,greenyellow,#adff2f,
3,grey,#808080,
3,honeydew,#f0fff0,
3,hotpink,#ff69b4,
3,indianred,#cd5c5c,
3,indigo,#4b0082,
3,ivory,#fffff0,
3,khaki,#f0e68c,
3,lavender,#e6e6fa,
3,lavenderblush,#fff0f5,
3,lawngreen,#7cfc00,
3,lemonchiffon,#fffacd,
3,lightblue,#add8e6,
3,lightcoral,#f08080,
3,lightcyan,#e0ffff,
3,lightgoldenrodyellow,#fafad2,
3,lightgray,#d3d3d3,
3,lightgreen,#90ee90,
3,lightgrey,#d3d3d3,
3,lightpink,#ffb6c1,
3,lightsalmon,#ffa07a,
3,lightseagreen,#20b2aa,
3,lightskyblue,#87cefa,
3,lightslategray,#778899,
3,lightslategrey,#778899,
3,lightsteelblue,#b0c4de,
3,lightyellow,#ffffe0,
3,limegreen,#32cd32,
3,linen,#faf0e6,
3,magenta,#ff00ff,
3,fuchsia,#ff00ff,
3,mediumaquamarine,#66cdaa,
3,mediumblue,#0000cd,
3,mediumorchid,#ba55d3,
3,mediumpurple,#9370db,
3,mediumseagreen,#3cb371,
3,mediumslateblue,#7b68ee,
3,mediumspringgreen,#00fa9a,
3,mediumturquoise,#48d1cc,
3,mediumvioletred,#c71585,
3,midnightblue,#191970,
3,mintcream,#f5fffa,
3,mistyrose,#ffe4e1,
3,moccasin,#ffe4b5,
3,navajowhite,#ffdead,
3,oldlace,#fdf5e6,
3,olivedrab,#6b8e23,
3,orangered,#ff4500,
3,orchid,#da70d6,
3,palegoldenrod,#eee8aa,
3,palegreen,#98fb98,
3,paleturquoise,#afeeee,
3,palevioletred,#db7093,
3,papayawhip,#ffefd5,
3,peachpuff,#ffdab9,
3,peru,#cd853f,
3,pink,#ffc0cb,
3,plum,#dda0dd,
3,powderblue,#b0e0e6,
3,rosybrown,#bc8f8f,
3,royalblue,#4169e1,
3,saddlebrown,#8b4513,
3,salmon,#fa8072,
3,sandybrown,#f4a460,
3,seagreen,#2e8b57,
3,seashell,#fff5ee,
3,sienna,#a0522d,
3,skyblue,#87ceeb,
3,slateblue,#6a5acd,
3,slategray,#708090,
3,slategrey,#708090,
3,snow,#fffafa,
3,springgreen,#00ff7f,
3,steelblue,#4682b4,
3,tan,#d2b48c,
3,thistle,#d8bfd8,
3,tomato,#ff6347,
3,transparent,n/a,
3,turquoise,#40e0d0,
3,violet,#ee82ee,
3,wheat,#f5deb3,
3,whitesmoke,#f5f5f5,
3,yellowgreen,#9acd32,
